,word,positive count,negative count,positive sentiment,negative sentiment
503,enough,4,2,0.7739,-0.3494
504,probably,1,4,0.2023,-0.1792
505,donate,1,46,0.4215,-0.0493565217391
506,Stories,1,3,0.4215,-0.4398
507,RT,22,11,0.512059090909,-0.305
508,never,9,31,0.379933333333,-0.201148387097
509,explosive,1,2,0.1531,-0.5423
510,Target,1,4,0.5574,-0.4404
511,opening,1,1,0.5859,-0.2732
512,attention,4,24,0.5574,-0.599820833333
513,Against,8,26,0.350825,-0.50825
514,boss,23,2,0.7642,0.0
515,blame,1,8,0.1027,-0.3290375
516,willing,1,1,0.6486,0.0
517,job,4,4,0.496875,-0.4405
518,succeed,1,2,0.766,-0.2028
519,como,1,2,0.34,0.0
520,news,2,9,0.33355,-0.225677777778
521,chick,1,7,0.6808,0.0
522,come,8,10,0.4058125,-0.25612
523,Accusers,9,15,0.266466666667,-0.392306666667
524,#avclubhttp,1,1,0.4019,0.0
525,c,21,10,0.5267,0.0
526,accused,2,12,0.0772,-0.505758333333
527,Woody,4,9,0.265925,-0.161033333333
528,career,4,1,0.468175,-0.2023
529,country,1,7,0.5859,-0.385357142857
530,invited,1,2,0.0258,-0.23835
531,according,2,1,0.296,-0.2342
532,contract,400,28,0.5778,-0.189314285714
533,enabling,2,4,0.7003,-0.55565
534,exec,1,9,0.6249,-0.600788888889
535,Green,1,9,0.1779,-0.175566666667
536,share,1,1,0.4588,0.0
537,can't,23,6,0.7642,-0.404133333333
538,comment,30,2,0.738273333333,0.0
539,liked,3,3,0.374733333333,-0.351633333333
540,key,1,9,0.2023,-0.582422222222
541,Her,6,633,0.41315,-0.0221721958926
542,point,30,4,0.3612,-0.4292
543,Girls,1,3,0.4215,0.0
544,Hey,7,13,0.4215,-0.321053846154
545,Los,4,11,0.3798,-0.224254545455
546,couldn't,1,3,0.3182,-0.0432666666667
547,ô,100,1817,0.490975,-0.144580957622
548,Sorry,2,183,0.6047,-0.366444808743
549,War,1,1,0.6305,-0.9001
550,speak,2,14,0.33955,-0.285885714286
551,Buy,1,549,0.5622,-0.00159981785064
552,I've,7,5,0.1511,-0.42932
553,©,1,87,0.6369,-0.0369448275862
554,help,12,7,0.389075,-0.4937
555,Knew,1,39,0.296,-0.529412820513
556,Paid,7,5,0.1511,-0.5423
557,Hillary,134,114,0.274682835821,-0.187700877193
558,much,2,11,0.5186,-0.397045454545
